,Temperature,Precipitation
2023-01-05 17:00:00,7.2458634,0.1345887
2023-01-05 18:00:00,6.8123794,0.1123683
2023-01-05 19:00:00,6.7264695,0.12992539
2023-01-05 20:00:00,6.3509173,0.15538485
2023-01-05 21:00:00,6.235806,0.14045313
2023-01-05 22:00:00,5.8256164,0.15377247
2023-01-05 23:00:00,5.77057,0.16689745
2023-01-06 00:00:00,5.2930794,0.15582006
2023-01-06 01:00:00,5.4251456,0.1638476
2023-01-06 02:00:00,5.4808793,0.13922973
2023-01-06 03:00:00,5.411603,0.16225858
2023-01-06 04:00:00,5.7388697,0.17063597
2023-01-06 05:00:00,5.914225,0.15434946
2023-01-06 06:00:00,6.0892577,0.14986254
2023-01-06 07:00:00,6.5565586,0.122844286
2023-01-06 08:00:00,6.57245,0.13846694
2023-01-06 09:00:00,7.0548964,0.13646537
2023-01-06 10:00:00,7.3019123,0.12092526
2023-01-06 11:00:00,7.675486,0.13251196
2023-01-06 12:00:00,7.5239162,0.11832777
2023-01-06 13:00:00,8.020453,0.11690839
2023-01-06 14:00:00,7.9876246,0.11500519
2023-01-06 15:00:00,7.563173,0.12589957
2023-01-06 16:00:00,7.2327676,0.105897605
2023-01-06 17:00:00,7.066425,0.13085163
2023-01-06 18:00:00,6.759132,0.121757165
2023-01-06 19:00:00,6.5476804,0.12514307
2023-01-06 20:00:00,5.920813,0.11725428
2023-01-06 21:00:00,6.059713,0.12377919
2023-01-06 22:00:00,5.7568564,0.13249546
2023-01-06 23:00:00,5.6651325,0.10577835
2023-01-07 00:00:00,5.7289786,0.124873914
2023-01-07 01:00:00,5.5313573,0.13803987
2023-01-07 02:00:00,5.443406,0.12004619
2023-01-07 03:00:00,5.5876737,0.115581006
2023-01-07 04:00:00,5.355493,0.11876992
2023-01-07 05:00:00,5.9501677,0.1095934
2023-01-07 06:00:00,6.0143843,0.1095645
2023-01-07 07:00:00,6.358122,0.13432118
2023-01-07 08:00:00,6.5973454,0.111845225
2023-01-07 09:00:00,7.071698,0.11255042
2023-01-07 10:00:00,7.265798,0.10080556
2023-01-07 11:00:00,7.419382,0.111118056
2023-01-07 12:00:00,7.644605,0.10444573
2023-01-07 13:00:00,7.6589184,0.08788413
2023-01-07 14:00:00,7.714823,0.08451098
2023-01-07 15:00:00,7.5362744,0.09494212
2023-01-07 16:00:00,7.328278,0.113675766
2023-01-07 17:00:00,7.1747828,0.09374028
2023-01-07 18:00:00,6.825569,0.094309516
2023-01-07 19:00:00,6.77824,0.074124046
2023-01-07 20:00:00,6.4902315,0.10665637
2023-01-07 21:00:00,5.93322,0.10796055
2023-01-07 22:00:00,5.8312545,0.1134857
2023-01-07 23:00:00,5.695506,0.117282204
